,full,mar20_pct_change,apr20_pct_change,may20_pct_change,jun20_pct_change,jul20_pct_change,aug20_pct_change,sep20_pct_change,oct20_pct_change,nov20_pct_change,dec20_pct_change,jan21_pct_change,feb21_pct_change,mar21_pct_change,apr21_pct_change,may21_pct_change
281,FULTON ST IND,-2.7403769998415966,-93.471457944745,-94.21609015128755,-90.01418715922999,-83.53964013166635,-80.20985515715657,-77.77296138073429,-76.73861528951164,-78.06535511162386,-78.73558190643581,-78.53979250390947,-81.13288380583393,-75.8831292822644,-76.30210953482913,-76.62044698825244
282,FULTON ST IRT,-1.341860095718893,-89.73167096702186,-90.59507747927118,-86.73752968231496,-81.70400646647043,-81.8738214179376,-77.8159524672582,-77.63104180274331,-78.32812120885342,-78.29639072802293,-77.84402767596946,-83.23061067087113,-79.17973343786751,-79.64586082606212,-78.78521933903568
283,GATES AV BMT,0.6714923062915414,-86.25826273158924,-88.15839039198742,-80.4087333676395,-71.31522963333751,-72.02580525816819,-65.12597037672049,-66.17909613026738,-67.20394326359137,-66.52438175660001,-67.44718757953679,-73.03310186745769,-66.2039025934384,-66.58365142910344,-65.62963947794101
284,GRAHAM AV BMT,10.323367394138177,-93.09202939141322,-92.92824892563782,-87.26832859997896,-78.37855637513171,-70.58248586255847,-66.5445585573799,-62.83006837719588,-71.05294960551076,-72.67027490488184,-71.04756109927999,-74.93552903035662,-68.00960512273213,-73.41592803716762,-65.6584888211935
285,GRAND ARMY PLAZ IRT,11.923421663487394,-93.67781546520115,-94.48666806634473,-88.52273565649362,-83.3496622492652,-81.92377059035711,-77.96204561227175,-74.56176915820188,-74.4002221794954,-77.60448213204118,-77.90890760289409,-79.78554494638624,-77.15969527095012,-76.87089433686832,-70.52697879487718
286,GRAND ST BMT,6.7744486424743,-89.84454453000146,-88.62100456621005,-81.43408134642355,-69.83483048391771,-58.947741364038976,-59.44532144736435,-53.956766323241254,-62.10961265463395,-65.37597631323702,-62.14475314103698,-67.80867394364327,-59.707592714505154,-66.2816601288198,-59.342465753424655
287,GRAND ST IND,-0.5973131243541164,-94.32821943282195,-94.89897746270785,-90.06652006220413,-79.09100838271031,-74.85201020847833,-69.49268299623657,-67.32760190411778,-70.2355460385439,-72.51988184503521,-76.53128248295741,-74.55582207029286,-68.40098972158883,-68.63164419649776,-74.50331125827815
288,GRAND-NEWTOWN IND,-2.8060558600887497,-90.99597228281272,-91.96374260841817,-84.79675349701876,-71.35649136425384,-73.17375942960818,-63.82939713752048,-62.40150018951862,-62.30443871845982,-64.45963092847366,-62.22563163495089,-61.11324636567114,-56.45742735846133,-55.561191879635174,-52.63105411684932
289,GRANT AV IND,-3.3978718736287847,-82.98143035027881,-79.87726098191214,-74.8144809974463,-63.54265519159659,-63.868613138686136,-57.266683235988566,-47.78180562748145,-61.22681110358835,-62.92137893445974,-59.840163485749734,-64.53274962114834,-63.31582682753726,-65.326728385036,-54.825581395348834
290,GRD CNTRL-42 ST IRT,-15.151771932154945,-94.1583948661138,-95.85809512545107,-92.67787525905084,-86.61667842860503,-86.50711654517441,-81.997284366586,-81.38074818166741,-81.50770497752715,-81.56055796616093,-80.38067349926794,-84.79348946411353,-79.95252143823063,-83.2850780984495,-81.11505613664715
291,GREENPOINT AV IND,2.2732129061950395,-88.85536027402846,-90.9622779103686,-83.43448768297037,-74.52700640830028,-73.63645032102218,-67.68937510359689,-67.46073484471609,-64.17455503477008,-66.59973961192766,-68.71528006499352,-70.3133315057006,-66.21773649191604,-61.42396933491009,-61.9928400954654
292,GROVE STREET PTH,-0.929698437917853,-95.58931710301144,-95.69598992231786,-91.72370407649724,-86.04138330664048,-86.5110965164327,-79.12310573812361,-78.25985588657443,-71.98125875337502,-74.26423052058,-73.20591017976126,-80.8982003172693,-76.5815046524183,-72.40767842900395,-69.91391979844636
293,GUN HILL RD IRT,-23.24547900464481,-81.69876000964139,-82.56368891577604,-77.34796607863589,-65.76759008747324,-72.92513279454515,-61.905235090508604,-61.72066731007859,-62.44063468335903,-61.24711472040166,-55.27359065958003,-61.27349004923376,-50.97225371025967,-62.13342617638394,-58.328964172884326
294,HALSEY ST BMT,4.884888393695464,-87.74978084470318,-88.65965090623448,-80.58044385408704,-70.94591987653527,-65.10761026310777,-61.940498868532416,-59.744344631488886,-64.54135471974763,-64.95746691871456,-66.56212339010614,-72.32113223649898,-64.23652140700159,-67.22223470970351,-62.26160084096711
295,HARLEM 148 ST IRT,-2.633642930856553,-88.68065036614125,-88.40875062385626,-79.43763240675355,-78.01451529289788,-76.34854771784232,-63.168065090261884,-63.76985830828682,-63.88717822391921,-60.94591897824786,-64.71892433128308,-72.41757759339743,-66.25259676940688,-74.92449629721567,-64.73964398602561
296,HARRISON PTH,56.12708018154312,-23.788067965908475,-29.171396140749152,-17.775795204194964,-16.36938962444833,-55.66027707897814,-29.54485799779516,-36.87560496289561,-37.01957889057686,-43.91902874504557,-33.83982756775762,-60.75133644152611,-52.64977509809551,-25.642835170005245,-28.53709020498097
297,HEWES ST BMT,10.988608811016057,-89.9666763257027,-89.29512075353779,-81.84520908470611,-73.76048412782673,-71.23018656193014,-65.19484368054526,-68.33724876011486,-68.73437760373271,-67.74208415910033,-71.69535563494641,-75.58651359077915,-70.98223486253659,-79.74137931034483,-78.45631891433418
298,HIGH ST IND,2.7751459923171002,-95.77110517214274,-96.6025259721396,-92.8090969596556,-88.94928627356502,-90.06834925348048,-83.59981869617543,-79.11827512571467,-82.55329901980343,-82.81869282818693,-85.64678626407962,-82.54615642833166,-77.65914652542656,-77.882265509997,-77.43501777587186
299,HOUSTON ST IRT,-10.854421223654047,-95.65260306423488,-95.93463398365849,-93.0202285803546,-87.92824545944737,-86.7145585159589,-82.54864949279593,-82.0523430226544,-83.63685501642343,-83.7899049678484,-80.86868500966227,-87.10810972330127,-82.01802566535179,-82.91420361698161,-80.63809682619087
300,HOWARD BCH JFK IND,36.37293652638921,-86.20718050065877,-91.77309731869445,-91.17059920803744,-87.44648703097457,-84.9286109213907,-83.6188960959491,-73.36435912352142,-80.19929283188685,-81.24774525601866,-77.63661240331723,-75.9872803059602,-74.97186892624545,-62.40530303030303,-61.74098140264396
301,HOYT ST IRT,-3.5396358869177256,-93.03459151698856,-92.36573097517443,-83.97610818021951,-78.97322647080718,-74.88820089439284,-70.06217591113514,-69.03349199104561,-62.664345476277084,-70.61231488030177,-71.54212146655472,-74.94909748118323,-69.64422718604091,-71.47275073217688,-67.93769268213532
302,HOYT-SCHER IND,5.007179516342285,-90.526767821357,-91.87355457103848,-85.7848686021966,-77.36101705349996,-74.70167416476141,-70.35700021506037,-68.95594299946919,-69.84845057679257,-70.84381652796594,-71.66850364771952,-76.0559842596598,-71.66298858666956,-71.14228456913828,-67.07208336816295
303,HUNTERS PT AV IRT,6.447123013111378,-91.33938616918287,-91.71502172725144,-84.42848020434226,-76.77274481597138,-78.72581050515205,-70.34633405090541,-73.20384347870888,-74.50731877034717,-73.4092571309163,-70.50785915627537,-83.58420759211394,-76.73579330003399,-76.63204165467438,-73.7243371236762
304,HUNTS POINT AV IRT,-11.219348337252267,-79.72199509403107,-80.83509120238243,-75.96861631189705,-58.330832967895304,-64.37535118936131,-52.75146265797748,-49.91778336388894,-49.33204224720713,-59.41155618574974,-49.287653460826945,-62.28118362264704,-56.697836153000736,-65.3234391150743,-57.469909418041944
305,INTERVALE AV IRT,-4.153322658126502,-80.89524910860557,-77.59842723369032,-72.55002858776443,-65.25550056645399,-66.76636171710064,-50.40448481407891,-59.85681411403733,-58.69394177812745,-56.827309236947784,-55.600169061707525,-66.28634523371365,-56.3015558107967,-60.6244579358196,-54.995085105282214
306,INWOOD-207 ST IND,13.08867485885088,-85.86408582692432,-89.14232705346302,-85.60497033942926,-72.90492723926613,-74.46047000411215,-65.6297557794043,-66.00799961754817,-73.08230075695482,-67.8573795480151,-63.26178139649642,-64.49922301106066,-63.851281900678394,-63.78045627867899,-66.80763406681855
307,JACKSON AV IRT,-7.745354895052248,-81.86295503211991,-82.20104985283855,-76.49918444366264,-67.15545715219048,-63.282359144931654,-54.54745844905876,-64.64531615185396,-62.22149894961091,-56.47814623639942,-61.096155463952215,-69.88762638119385,-57.95005712420435,-62.22086264912817,-62.299359771823895
308,JAMAICA 179 ST IND,-2.021918818596522,-87.05336024472547,-88.2073929992108,-79.47383424215396,-67.51671528383405,-67.60880800481239,-60.187651499092155,-62.07990411506192,-59.327341621520056,-61.65787609226167,-49.243554693882,-69.04232174377078,-61.41427531073308,-64.18445867103976,-60.21778815876534
309,JAMAICA CENTER IND,5.716291245329224,-81.74180819449816,-83.76490472212859,-74.54675474639953,-65.28230450657976,-65.89773760496335,-58.56617107506125,-79.9613109931186,-68.61646841436657,-63.261285133886446,-59.4453968339003,-69.19062928798213,-60.632928454821844,-62.61266333429616,-59.22322034809029
310,JAMAICA VAN WK IND,13.703735806535494,-84.42553491985029,-86.47239907647099,-80.24850467598559,-62.665827224895445,-71.37258007046992,-53.340940788639536,43.233082706766915,-39.87420920994557,-56.34756441602408,-56.21006776379477,-61.706326175275684,-55.83930477206891,-59.75566697267142,-57.17833904708599
311,JAY ST-METROTEC BMT,-15.954148649751163,-94.74587774983033,-94.69431066851686,-91.31369084570937,-83.62332112332112,-83.0232129697863,-75.50297762755513,-78.26569841947885,-81.77416835858192,-85.4945669542985,-80.68846815834767,-84.41797319786284,-76.17822647187302,-80.73621591408153,-78.46706391314994
312,JAY ST-METROTEC IND,-7.573495061398826,-91.36369391803485,-91.23260105340769,-82.80406512949405,-73.65806524951688,-74.20811913147053,-78.27475242592703,-77.19779846436094,-79.78960466496963,-79.85417229273561,-75.39654791040836,-83.12081291308844,-78.10250601343942,-79.77757143460093,-77.59166398494433
313,JEFFERSON ST BMT,23.761024182076813,-92.97093492987509,-92.68495251075429,-85.733211512106,-78.13674914750372,-62.79610261911147,-63.24646719627788,-45.83929249000321,-69.04920351037724,-68.31222657149436,-73.36883466032468,-73.48668835632132,-66.5049882764011,-70.52681734374676,-64.37667703053793
314,JFK JAMAICA CT1 IND,-3.1999624454285134,-88.8363318583457,-93.54333969948686,-88.44354654448814,-86.02553440381645,-76.14284449727488,-83.82856344456606,-85.88176342245096,-92.42211908098587,-91.04761904761904,-86.81312546233617,-88.93353328994652,-91.52630047525136,-70.348587202286,-83.39469384937527
315,JKSN HT-ROOSVLT IND,-2.466303599048572,-89.28254698838839,-89.85947072569948,-82.27051344871926,-71.90167304095834,-65.2105574039652,-61.062121009844084,-65.01451706561714,-59.93592233009709,-59.94677612142261,-63.10290610235921,-67.24145256545597,-58.81435777157363,-60.86478342270637,-58.009537042885114
316,JOURNAL SQUARE PTH,-4.772403500440947,-72.46215454235279,-74.07738274883805,-75.38021629207957,-70.52774555354114,-71.20498753117207,-56.283293263564794,-53.44079548285311,-51.230638127224424,-58.168939785253485,-50.411868627743125,-64.7693374097959,-59.453250222617996,-56.90915294413418,-52.06374117220981
317,JUNCTION BLVD IRT,1.4915614086370559,-88.69878829195346,-87.22334593849853,-75.14371407148212,-59.07805665053307,-56.1978928080623,-48.5321041460767,-49.05023342670402,-45.61306151060226,-45.98615297382793,-47.48202738340378,-57.99751196893731,-45.88402040367751,-47.13932809945829,-43.60727581860288
318,JUNIUS ST IRT,7.691742039855871,-74.50737219236599,-75.94875346260388,-71.08232040177597,-46.0804967291274,-60.40714915444417,-58.627874672017285,-54.331620467539985,-57.29138166894665,-63.87883008356546,-62.144597887896026,-69.71275696986764,-65.71526118129054,-62.6154058150751,-57.36149584487534
319,KEW GARDENS IND,-14.9437884252931,-89.80710439131714,-91.15935240026438,-84.01088658563866,-73.14972784141685,-71.6682896538098,-64.11840012414167,-62.21989007514447,-63.37265958967296,-64.58883113421298,-62.76487749558728,-70.50400016396915,-62.51026534137569,-67.53009197078424,-63.791012403986215
320,KINGS HWY BMT,-0.8778521416080846,-88.37994086213983,-88.72167324278082,-81.33950421044071,-69.19047045116709,-67.36439390713059,-58.599254040613346,-56.836093033473375,-60.0144014643732,-59.344372192800165,-57.36357402633475,-63.8859106731094,-56.81188581792933,-62.452099659228026,-53.60033520723489
321,KINGS HWY IND,5.445993181720105,-83.33984756693376,-86.66019581363943,-82.40410665906174,-71.12178425527217,-71.42345660068538,-55.193409742120345,-61.91897654584222,-67.13055784880294,-63.154804345090795,-61.27958983309698,-72.88186671258825,-64.88643339472068,-65.4045339065859,-64.96455097906819
322,KINGSBRIDGE RD IND,7.546724459798726,-80.92140071721111,-81.3913322890308,-75.26528495169761,-63.98899386383559,-65.62392204208348,-60.34752229475039,-61.53583891540653,-62.115707644829875,-63.120440849984135,-60.15596282098409,-67.42778879372024,-63.687150837988824,-64.57839352550411,-62.47740691649596
323,KINGSBRIDGE RD IRT,0.8048289738430584,-79.01132482473486,-80.37744509568533,-71.49953764435173,-61.68956930738726,-65.47730438941218,-61.14928671890697,-57.75822648204716,-60.42246264811952,-60.709587969710974,-51.538191916740814,-66.01083495003476,-59.261833475905334,-60.07729642279346,-57.43768095473484
324,KINGSTON AV IRT,-3.3311192294918635,-86.81700809089344,-87.68956924172304,-83.97226753670472,-72.4684038071462,-73.57910906298002,-70.32102174663444,-65.64777471166772,-63.81097966236874,-63.66676905225077,-66.13214837712519,-67.44136308547802,-63.781908132064444,-71.70597348941298,-60.466358134567464
325,KINGSTON-THROOP IND,0.9835907102636604,-88.65479311105122,-90.42421119205453,-85.98389012237311,-77.5832830329683,-78.35019932536031,-72.535326979954,-73.5057037805223,-73.48443720593558,-72.66527039364159,-74.76530875893549,-77.00381908582135,-72.66548604795865,-72.37560939758445,-70.41765243259704
326,KNICKERBOCKER BMT,3.0870542884677157,-84.16335469218915,-88.89665269182139,-82.24064391854705,-72.06211851966314,-75.49041010447527,-67.77391304347826,-70.21841471425444,-68.08971581496112,-70.25302102569087,-72.0458175867846,-76.88587078381755,-70.52132996790378,-64.06440100575878,-66.73654089305916
327,KOSCIUSZKO ST BMT,1.0322883369013753,-87.42816305869042,-90.18779211329098,-83.18354489020662,-74.78281999878502,-74.24795288033329,-69.37913684147475,-67.54357298474946,-68.57981497497182,-67.27895106818667,-69.40490665903727,-74.44380403458213,-67.13302952018809,-67.16493463954977,-69.05488231507655
328,LACKAWANNA PTH,44.34014900390561,-66.71064553561493,-70.37887485648679,-61.40441482715535,-62.90195066070766,-72.84024288107203,-70.5174583202265,-69.5012650628243,-66.95508544565149,-66.42270731241648,-50.637235580081466,-76.88414665238896,-66.07244366629527,-53.77132047878682,-58.43427095292767
329,LAFAYETTE AV IND,-20.884978905713446,-91.12115850861674,-93.05923823189943,-88.47669177672014,-81.37129575828007,-81.01221640488656,-70.75337260117803,-67.15009682336945,-69.57198148288684,-64.86881153139574,-68.57396202795744,-72.57403189066059,-70.92720433218965,-76.49236616211257,-72.89827494774931
330,LEXINGTON AV/53 IND,-16.799569780436773,-95.6830891364087,-95.76263528196742,-91.40229908147226,-84.05023547880691,-83.8822831617286,-79.53356163315787,-79.31042351223074,-80.31321276400888,-82.82197762510978,-90.40204396451986,-83.8039640970027,-77.14106811020442,-81.96567719160292,-78.74174322783311
331,LEXINGTON AV/63 IND,-4.797599967122837,-91.25255861155547,-92.83181023390848,-85.9943491875682,-76.62173216346746,-76.4488532945031,-68.88002337272442,-70.7537722558854,-72.23926380368098,-72.40801576872536,-65.11006213573526,-76.9789328268002,-70.9888800635425,-71.9343963396804,-68.87268648345484
332,LIBERTY AV IND,0.6840653023683606,-81.78137651821862,-83.89273356401384,-75.85424366206314,-68.57605654542778,-68.23544834819087,-63.66031195840554,-60.75388026607539,-62.96482131906116,-64.80205069780689,-58.62897877984084,-66.20796936699772,-63.55124179274907,-61.60208212839792,-60.44405997693195
333,LIVONIA AV BMT,90.83261638466685,-35.576857706166294,-40.72295092062319,-31.81577554261514,-27.236271909967012,-22.774436587138986,-15.663953192571864,-17.43151486771248,-2.3243005067195415,-59.47471360715284,-60.71628427532176,-75.48814120242692,-65.2356860191354,-72.01033380923243,-70.15210296200505
334,LONGWOOD AV IRT,-57.24353166213631,-91.99979835660635,-82.73048539652844,-72.49778303281111,-53.96292745286034,-66.88987328731844,-60.56820577693443,-56.46218280364622,-49.89969909729188,-57.02344889487265,-52.121518256602684,-52.615587846763546,-6.286790675771132,-57.76579119826587,-50.03118178983473
335,LORIMER ST BMT,-1.1302403074013478,-91.39663383406582,-92.9368882888964,-87.08795649937542,-81.47773730766372,-79.81644704308113,-72.4256517751867,-73.40208929403154,-71.68507134711135,-73.07915914445702,-73.53904233599137,-78.48713425390838,-73.09397297707606,-75.58611138589376,-71.67465406682416
336,MARBLE HILL-225 IRT,-17.503726462446384,-83.9654144305307,-82.3839406441771,-76.5250399573788,-65.18284186344293,-63.90418991435375,-57.10365430040295,-56.40655408374663,-55.52842799157689,-58.91260718846926,-60.29132121396516,-72.9778693474477,-60.40414469560087,-65.07751937984496,-54.92493845993829
337,MARCY AV BMT,-14.74875946454072,-85.34553268177723,-90.25485484696893,-85.23244088654745,-78.14945202582507,-83.3058716977838,-72.17359424407681,-73.02426850434944,-73.26119163930488,-72.79373193298882,-73.97666761513759,-78.62255217942163,-69.6183463684458,-68.09454495044015,-72.62772285027769
338,METROPOLITAN AV BMT,3.7785638088821516,-86.22027603791365,-85.70340757662288,-78.54733949537847,-64.31880700738381,-66.13711869525824,-55.62331049223612,-54.581651576306314,-51.88474990284795,-55.0499681054646,-55.67373285410401,-65.04007026018223,-56.47587102358796,-58.28390887423092,-49.114791547687034
339,METROPOLITAN AV IND,0.5449361429318577,-93.14447866114183,-93.4896978119372,-87.1367358927399,-79.81970801661582,-77.2195762124541,-72.14003944773175,-77.26108689763858,-71.82123818754543,-66.2503862863791,-67.98841658909919,-69.1366215626364,-66.62359889925499,-65.59018428647437,-62.23003729491343
340,METS-WILLETS PT IRT,-7.5746487119437935,-97.27361768928365,-96.41460487087157,-90.2591495416482,-90.79260101271055,-85.56323442848111,-93.90049389279868,-80.61761576796013,-63.7060213268629,-63.60997857784535,-72.63888888888889,-75.89860007567158,-48.721197244437406,-88.05060981336625,-69.74677662910908
341,MIDDLETOWN RD IRT,-2.340975137229577,-86.67586629868138,-92.91192925464718,-88.25906625545039,-79.2799254106003,-71.0714579393142,-62.213663085343605,-63.17902498975829,-64.88270377733598,-64.93517218597738,-65.22877304803096,-73.9593657086224,-66.34980988593155,-68.48359398957375,-79.14185165132648
342,MONTROSE AV BMT,18.05741883552455,-91.01906727930567,-89.71837055438667,-82.54868485777945,-73.77709681080468,-59.81469957823411,-61.564015083497935,-55.55698234349919,-66.42783021198795,-68.49245977707167,-66.85904920767307,-71.66604547148714,-64.86111111111111,-70.85969234867152,-61.1751882176988
343,MORGAN AV BMT,21.908281440959087,-92.7432066074018,-91.81969558385515,-86.46370385646524,-75.14230494294564,-60.899395200624305,-62.86602676760849,-55.169399565951295,-68.55761266202511,-69.34639255236618,-70.80828125462784,-74.46670510233496,-69.57393483709274,-72.87686778891621,-66.28907807406364
