,index,Reg Valid Date,date,month
57,2020-09-01,4282,2020-09-01,9
136,2020-09-02,3757,2020-09-02,9
108,2020-09-03,3919,2020-09-03,9
77,2020-09-04,4073,2020-09-04,9
480,2020-09-05,1964,2020-09-05,9
603,2020-09-06,1073,2020-09-06,9
489,2020-09-07,1900,2020-09-07,9
14,2020-09-08,5520,2020-09-08,9
36,2020-09-09,4579,2020-09-09,9
25,2020-09-10,4988,2020-09-10,9
92,2020-09-11,3995,2020-09-11,9
459,2020-09-12,2085,2020-09-12,9
586,2020-09-13,1152,2020-09-13,9
53,2020-09-14,4364,2020-09-14,9
105,2020-09-15,3932,2020-09-15,9
127,2020-09-16,3797,2020-09-16,9
120,2020-09-17,3865,2020-09-17,9
124,2020-09-18,3838,2020-09-18,9
390,2020-09-19,2345,2020-09-19,9
591,2020-09-20,1106,2020-09-20,9
83,2020-09-21,4055,2020-09-21,9
4,2020-09-22,6512,2020-09-22,9
67,2020-09-23,4205,2020-09-23,9
54,2020-09-24,4312,2020-09-24,9
133,2020-09-25,3765,2020-09-25,9
468,2020-09-26,2053,2020-09-26,9
606,2020-09-27,1068,2020-09-27,9
64,2020-09-28,4242,2020-09-28,9
18,2020-09-29,5345,2020-09-29,9
30,2020-09-30,4857,2020-09-30,9
44,2020-10-01,4502,2020-10-01,10
132,2020-10-02,3767,2020-10-02,10
474,2020-10-03,2022,2020-10-03,10
573,2020-10-04,1192,2020-10-04,10
13,2020-10-05,5590,2020-10-05,10
45,2020-10-06,4479,2020-10-06,10
161,2020-10-07,3593,2020-10-07,10
71,2020-10-08,4120,2020-10-08,10
186,2020-10-09,3465,2020-10-09,10
511,2020-10-10,1745,2020-10-10,10
639,2020-10-11,959,2020-10-11,10
404,2020-10-12,2318,2020-10-12,10
81,2020-10-13,4056,2020-10-13,10
49,2020-10-14,4406,2020-10-14,10
112,2020-10-15,3902,2020-10-15,10
17,2020-10-16,5402,2020-10-16,10
469,2020-10-17,2049,2020-10-17,10
596,2020-10-18,1095,2020-10-18,10
33,2020-10-19,4770,2020-10-19,10
6,2020-10-20,6201,2020-10-20,10
79,2020-10-21,4068,2020-10-21,10
88,2020-10-22,4023,2020-10-22,10
197,2020-10-23,3368,2020-10-23,10
488,2020-10-24,1903,2020-10-24,10
609,2020-10-25,1059,2020-10-25,10
76,2020-10-26,4074,2020-10-26,10
21,2020-10-27,5045,2020-10-27,10
117,2020-10-28,3876,2020-10-28,10
172,2020-10-29,3543,2020-10-29,10
110,2020-10-30,3908,2020-10-30,10
431,2020-10-31,2244,2020-10-31,10
523,2020-11-01,1599,2020-11-01,11
28,2020-11-02,4925,2020-11-02,11
115,2020-11-03,3897,2020-11-03,11
158,2020-11-04,3602,2020-11-04,11
173,2020-11-05,3543,2020-11-05,11
188,2020-11-06,3447,2020-11-06,11
517,2020-11-07,1690,2020-11-07,11
630,2020-11-08,973,2020-11-08,11
80,2020-11-09,4067,2020-11-09,11
19,2020-11-10,5288,2020-11-10,11
281,2020-11-11,2764,2020-11-11,11
157,2020-11-12,3610,2020-11-12,11
174,2020-11-13,3538,2020-11-13,11
497,2020-11-14,1841,2020-11-14,11
610,2020-11-15,1054,2020-11-15,11
