,zip_code,march_20,april_20,diff,diffpct
426,10115,12,12,0,0.00
427,11380,11,13,-2,-15.38
428,10120,11,13,-2,-15.38
429,11790,11,13,-2,-15.38
430,10112,11,11,0,0.00
431,10989,11,12,-1,-8.33
432,12571,11,10,1,10.00
433,12526,11,8,3,37.50
434,12564,11,11,0,0.00
435,11568,11,6,5,83.33
436,13850,11,8,3,37.50
437,11582,11,14,-3,-21.43
438,10924,11,11,0,0.00
439,10516,11,4,7,175.00
440,11969,10,9,1,11.11
441,11944,10,8,2,25.00
442,10123,10,11,-1,-9.09
443,11558,10,8,2,25.00
444,13905,10,10,0,0.00
445,11242,10,14,-4,-28.57
446,99999,10,9,1,11.11
447,10103,10,14,-4,-28.57
448,10533,10,9,1,11.11
449,12209,9,5,4,80.00
450,11777,9,9,0,0.00
451,12477,9,8,1,12.50
452,11709,9,11,-2,-18.18
453,11792,9,7,2,28.57
454,12414,9,3,6,200.00
455,12789,9,7,2,28.57
456,10176,9,11,-2,-18.18
457,11733,9,9,0,0.00
458,12778,9,7,2,28.57
459,10595,9,6,3,50.00
460,12308,9,9,0,0.00
461,8861,9,6,3,50.00
462,12010,9,10,-1,-10.00
463,11961,9,6,3,50.00
464,12589,9,8,1,12.50
465,11740,9,9,0,0.00
466,13790,9,8,1,12.50
467,10172,9,9,0,0.00
468,11797,9,8,1,12.50
469,11771,9,10,-1,-10.00
470,10918,9,4,5,125.00
471,10590,9,8,1,12.50
472,11949,8,10,-2,-20.00
473,18428,8,1,7,700.00
474,10993,8,8,0,0.00
475,12307,8,3,5,166.67
476,10514,8,6,2,33.33
477,11934,8,9,-1,-11.11
478,10987,8,6,2,33.33
479,12309,8,6,2,33.33
480,12546,8,11,-3,-27.27
481,10962,8,7,1,14.29
482,10577,8,5,3,60.00
483,10506,8,9,-1,-11.11
484,11795,8,9,-1,-11.11
485,10129,8,10,-2,-20.00
486,12508,8,9,-1,-11.11
487,7002,8,4,4,100.00
488,10532,8,7,1,14.29
489,10507,8,8,0,0.00
490,12446,8,5,3,60.00
491,12060,8,3,5,166.67
492,10279,8,10,-2,-20.00
493,60048,8,4,4,100.00
494,46037,8,6,2,33.33
495,10570,8,9,-1,-11.11
496,12430,7,7,0,0.00
497,14215,7,5,2,40.00
498,14850,7,8,-1,-12.50
499,10926,7,6,1,16.67
500,12543,7,5,2,40.00
501,10536,7,6,1,16.67
502,12303,7,6,1,16.67
503,10594,7,7,0,0.00
504,7024,7,5,2,40.00
505,10925,7,5,2,40.00
506,10510,7,9,-2,-22.22
507,7302,7,2,5,250.00
508,11933,7,10,-3,-30.00
509,14212,7,4,3,75.00
510,6704,7,1,6,600.00
511,11719,7,6,1,16.67
512,10174,7,6,1,16.67
513,7203,7,1,6,600.00
514,10560,7,7,0,0.00
515,10166,7,7,0,0.00
516,10579,7,10,-3,-30.00
517,11971,7,4,3,75.00
518,10920,7,6,1,16.67
519,12065,7,3,4,133.33
520,11964,7,3,4,133.33
521,11965,7,5,2,40.00
522,12570,7,3,4,133.33
523,12567,7,4,3,75.00
524,10110,7,4,3,75.00
525,13440,6,7,-1,-14.29
526,7304,6,6,0,0.00
527,48359,6,5,1,20.00
528,11766,6,6,0,0.00
529,12831,6,4,2,50.00
530,10331,6,8,-2,-25.00
531,11780,6,8,-2,-25.00
532,6897,6,5,1,20.00
533,11764,6,5,1,20.00
534,12790,6,7,-1,-14.29
535,12502,6,3,3,100.00
536,12780,6,6,0,0.00
537,11751,6,8,-2,-25.00
538,13206,6,4,2,50.00
539,11742,6,7,-1,-14.29
540,10450,6,1,5,500.00
541,12754,6,7,-1,-14.29
542,12205,6,2,4,200.00
543,12208,6,6,0,0.00
544,7103,6,3,3,100.00
545,11716,6,6,0,0.00
546,12721,6,7,-1,-14.29
547,12524,6,7,-1,-14.29
548,30084,6,6,0,0.00
549,12110,6,4,2,50.00
550,11782,6,7,-1,-14.29
551,12901,6,3,3,100.00
552,12404,6,5,1,20.00
553,12075,6,6,0,0.00
554,6776,6,2,4,200.00
555,10576,6,6,0,0.00
556,12538,6,7,-1,-14.29
557,12029,6,3,3,100.00
558,8831,5,4,1,25.00
559,7628,5,4,1,25.00
560,10702,5,1,4,400.00
561,46256,5,9,-4,-44.44
562,11424,5,12,-7,-58.33
563,11960,5,4,1,25.00
564,13856,5,2,3,150.00
565,15017,5,7,-2,-28.57
566,13753,5,5,0,0.00
567,12516,5,4,1,25.00
568,8857,5,3,2,66.67
569,10921,5,4,1,25.00
570,10913,5,2,3,150.00
571,7410,5,1,4,400.00
572,12523,5,3,2,66.67
573,11730,5,6,-1,-16.67
574,12528,5,8,-3,-37.50
575,12463,5,2,3,150.00
576,12496,5,5,0,0.00
577,11789,5,5,0,0.00
578,12804,5,5,0,0.00
579,13903,5,6,-1,-16.67
580,54956,5,5,0,0.00
581,12481,5,5,0,0.00
582,10602,5,5,0,0.00
583,11767,5,5,0,0.00
584,11957,5,7,-2,-28.57
585,12503,5,2,3,150.00
586,12461,5,2,3,150.00
587,11514,5,6,-1,-16.67
588,12775,5,3,2,66.67
589,11749,5,3,2,66.67
590,7726,5,1,4,400.00
591,6820,5,5,0,0.00
592,14043,5,2,3,150.00
593,10173,5,7,-2,-28.57
594,10511,5,6,-1,-16.67
595,10268,5,5,0,0.00
596,12078,5,3,2,66.67
597,10524,5,4,1,25.00
598,12581,5,2,3,150.00
599,11560,5,4,1,25.00
600,13210,5,6,-1,-16.67
601,14624,5,8,-3,-37.50
602,90209,5,5,0,0.00
603,13045,5,2,3,150.00
604,13088,5,2,3,150.00
605,10983,5,5,0,0.00
606,7450,5,2,3,150.00
607,12545,5,6,-1,-16.67
608,14213,5,3,2,66.67
609,7010,5,5,0,0.00
610,12428,5,9,-4,-44.44
611,29602,5,5,0,0.00
612,11359,5,5,0,0.00
613,12203,5,7,-2,-28.57
614,7087,5,4,1,25.00
615,14450,5,2,3,150.00
616,11975,5,3,2,66.67
617,12202,5,4,1,25.00
618,7036,5,3,2,66.67
619,47402,5,5,0,0.00
620,7020,5,2,3,150.00
621,12771,4,6,-2,-33.33
622,7840,4,4,0,0.00
623,12764,4,3,1,33.33
624,14216,4,2,2,100.00
625,12464,4,2,2,100.00
626,7605,4,3,1,33.33
627,14625,4,1,3,300.00
628,11939,4,3,1,33.33
629,7733,4,2,2,100.00
630,10105,4,7,-3,-42.86
631,12594,4,4,0,0.00
632,8859,4,3,1,33.33
633,12189,4,2,2,100.00
634,8817,4,2,2,100.00
635,12748,4,4,0,0.00
636,6605,4,2,2,100.00
637,14616,4,1,3,300.00
638,11022,4,4,0,0.00
639,7093,4,6,-2,-33.33
640,12210,4,2,2,100.00
641,12054,4,4,0,0.00
642,7083,4,2,2,100.00
643,13783,4,2,2,100.00
644,12184,4,3,1,33.33
645,11705,4,3,1,33.33
646,12304,4,6,-2,-33.33
647,12468,4,2,2,100.00
648,10407,4,4,0,0.00
649,8863,4,4,0,0.00
650,12076,4,3,1,33.33
651,10984,4,5,-1,-20.00
652,14228,4,3,1,33.33
653,12421,4,2,2,100.00
654,7306,4,4,0,0.00
655,12776,4,2,2,100.00
