,full,ENTRIES_x,EXITS                                                               _x,change_x,ENTRIES_y,EXITS                                                               _y,change_y,diff,pct
23,14 ST-UNION SQ IRT,3276296561.0,3352503579.0,183645,3368829122,3468253218,49484,-134161,-73.05453456396853
24,145 ST IND,4917756897.0,5002802115.0,151783,4986839683,5089251103,47244,-104539,-68.87398457007701
25,145 ST IRT,21555229885.0,47586921949.0,63228,6053450028,14381200125,24124,-39104,-61.84601758714493
26,149/GRAND CONC IRT,597677776.0,106619114.0,81946,419807155,154576346,27632,-54314,-66.28023332438435
27,14TH STREET PTH,54873724.0,47494051.0,62082,46921533,65142986,27039,-35043,-56.44631294094907
28,15 ST-PROSPECT IND,5505565563.0,343508133.0,42069,4965076323,332545849,9010,-33059,-78.58280444032422
29,155 ST IND,1609728991.0,1181524167.0,41592,983392193,838371033,14696,-26896,-64.66628197730333
30,157 ST IRT,369482951.0,545654163.0,47719,362191463,533878348,18816,-28903,-60.569165321989146
31,161/YANKEE STAD IND,51795239971.0,80796539602.0,75289,115048989737,144035887994,27015,-48274,-64.11826428827584
32,161/YANKEE STAD IRT,70753953340.0,42243307884.0,49613,70674913674,42228953022,21730,-27883,-56.20099570677041
33,163 ST-AMSTERDM IND,833029220.0,469998715.0,29370,436274738,324464089,9359,-20011,-68.13415049370106
34,167 ST IND,73825668127.0,35493038041.0,52055,66648225454,32043602722,14907,-37148,-71.36298146191528
35,167 ST IRT,880770567.0,663411930.0,52484,927143239,723536523,26238,-26246,-50.00762137032238
36,168 ST IND,3107315086.0,471606388.0,78915,2996717128,400304245,27507,-51408,-65.14350883862383
37,168 ST IRT,149186403.0,623722711.0,65192,234244803,872837885,29525,-35667,-54.710700699472326
38,169 ST IND,1277802934.0,860517800.0,50229,1254073216,870239432,17814,-32415,-64.5344323000657
39,170 ST IND,14096829822.0,10662380646.0,41976,11831751921,8877253766,16653,-25323,-60.327329902801594
40,170 ST IRT,2354822377.0,2257414662.0,50690,2436219014,2342875439,20670,-30020,-59.222726376011046
41,174 ST IRT,236848714.0,613179765.0,31665,240221677,593270745,13560,-18105,-57.17669351018475
42,174-175 STS IND,602246032.0,287593576.0,31097,546215338,269700153,12537,-18560,-59.68421391130977
43,175 ST IND,15528153340.0,12662155823.0,84580,14448587039,11151077843,27755,-56825,-67.18491369117994
