date,NYC driving,NYC transit,NYC walking,Bronx driving,Bronx transit,Bronx walking,Brooklyn driving,Brooklyn transit,Brooklyn walking,Manhattan driving,Manhattan transit,Manhattan walking,Queens driving,Queens transit,Queens walking,Staten Island driving,Staten Island transit,Staten Island walking
5/17/20,57.17357143,15.03928571,32.06428571,67.98214286,29.97642857,69.65857143,60.91357143,21.67928571,51.45214286,24.84357143,8.511428571,10.92357143,54.39357143,20.01071429,57.595,67.60714286,25.53428571,87.32785714
5/18/20,58.03142857,15.18428571,32.51142857,68.07428571,30.04428571,70.06571429,61.65785714,21.86928571,51.85928571,25.12357143,8.592142857,11.03142857,55.20642857,20.275,58.44785714,68.52214286,25.81142857,88.18142857
5/19/20,58.88928571,15.33142857,32.94357143,68.81857143,30.34214286,70.90428571,62.30642857,22.05,52.2,25.45285714,8.671428571,11.14928571,55.91428571,20.48071429,59.09857143,69.54642857,26.07214286,89.73857143
5/20/20,60.31142857,15.55642857,33.93142857,69.89785714,30.68571429,72.35428571,63.52857143,22.385,53.45642857,25.99928571,8.784285714,11.43714286,57.20357143,20.75285714,60.73214286,71.32571429,25.98142857,91.565
5/21/20,61.58857143,15.78285714,34.58,71.00214286,31.09785714,73.49642857,64.60857143,22.67714286,54.11714286,26.50571429,8.882142857,11.60428571,58.32214286,21.05,61.68142857,72.57357143,26.22714286,92.44785714
5/22/20,63.39214286,16.14357143,35.85071429,72.78,31.73142857,75.70428571,66.32,23.19857143,55.75857143,27.32714286,9.050714286,11.975,60.03,21.51928571,63.62285714,74.70428571,26.54785714,95.33714286
5/23/20,63.89357143,16.33214286,36.16071429,73.40285714,32.05357143,76.275,67.03642857,23.48,56.14,27.55714286,9.115714286,12.02428571,60.57428571,21.77857143,64.01285714,75.51857143,26.85357143,96.64142857
5/24/20,65.14857143,16.67285714,37.06928571,74.68714286,32.65714286,77.69785714,68.17428571,23.88642857,57.25357143,28.14928571,9.308571429,12.36785714,61.68714286,22.19642857,65.125,76.62,27.05142857,98.06
5/25/20,70.11642857,18.155,40.14071429,80.56642857,33.26857143,79.39785714,73.68071429,24.41357143,59.015,30.43714286,9.479285714,12.78071429,66.68571429,22.62,66.85571429,82.245,27.61857143,99.95142857
5/26/20,76.02428571,19.82142857,43.57857143,87.25214286,34.52714286,82.34214286,79.83285714,25.37071429,61.22214286,33.055,9.834285714,13.335,72.35214286,23.54857143,69.59285714,89.44428571,28.61928571,103.7292857
5/27/20,77.22357143,20.16214286,44.31928571,88.53071429,35.14714286,83.86071429,81.02285714,25.80928571,62.12714286,33.63428571,10.00428571,13.59857143,73.675,24.03785714,70.775,90.90857143,29.16357143,105.2971429
5/28/20,77.995,20.42357143,44.685,89.29785714,35.54285714,84.645,81.87071429,26.13785714,62.47285714,34.04857143,10.14142857,13.76142857,74.495,24.40571429,71.39071429,92.20142857,29.64428571,106.1292857
5/29/20,78.55642857,20.65142857,44.85214286,89.81357143,35.95214286,85.01,82.35285714,26.38785714,62.74571429,34.335,10.25642857,13.83785714,74.98428571,24.76571429,71.69714286,93.06714286,29.86,105.91
5/30/20,79.53214286,21.01214286,45.52714286,91.00428571,36.47785714,86.08928571,83.38428571,26.89928571,63.64642857,34.87357143,10.48357143,14.07928571,75.98071429,25.275,72.73214286,94.03214286,30.26357143,107.0164286
5/31/20,80.465,21.28571429,46.14785714,91.82071429,36.73785714,86.69857143,84.24714286,27.25785714,64.52,35.37642857,10.645,14.46,76.90785714,25.695,73.48285714,94.99142857,30.86357143,108.3714286
6/1/20,81.36928571,21.59142857,46.93,92.57642857,37.12857143,87.52142857,85.05428571,27.71642857,65.72428571,36.07571429,10.83,14.92928571,77.50928571,26.04785714,74.07,96.15071429,31.27285714,109.2764286
6/2/20,81.85714286,21.90571429,47.45785714,92.45357143,37.22285714,87.26,85.42642857,28.14857143,66.38642857,36.52714286,11.13428571,15.36214286,77.68714286,26.34428571,74.30928571,96.46,31.55428571,108.9485714
6/3/20,82.04285714,22.06214286,47.47428571,92.405,37.29071429,86.91642857,85.66285714,28.40571429,66.67214286,36.51214286,11.20357143,15.325,77.65714286,26.61071429,74.1,96.55428571,32.00857143,109.2214286
6/4/20,82.71071429,22.34928571,47.89285714,92.66642857,37.57428571,87.02642857,86.36285714,28.91071429,67.45928571,36.68,11.36428571,15.41857143,78.15,27.00928571,74.47428571,97.30071429,32.38571429,109.935
6/5/20,82.99785714,22.55714286,47.86428571,92.72928571,37.81071429,86.55357143,86.63642857,29.20571429,67.54785714,36.55571429,11.48142857,15.33785714,78.24142857,27.24928571,74.34357143,97.60285714,32.79642857,110.4885714
6/6/20,85.01428571,23.155,49.35928571,94.45642857,38.45642857,88.10285714,88.25214286,30.14785714,69.91214286,37.115,11.81785714,15.83142857,79.83714286,27.98428571,76.20214286,99.43357143,33.54071429,113.0057143
6/7/20,85.86214286,23.575,49.80928571,95.12571429,38.96571429,88.75785714,88.85428571,30.88428571,70.76571429,37.20785714,11.99857143,15.87285714,80.51,28.59071429,76.78857143,100.3064286,34.12928571,114.6542857
6/8/20,87.47857143,24.21357143,50.565,96.66642857,39.92928571,90.12285714,90.335,31.75428571,71.87,37.84285714,12.38214286,16.12357143,81.86785714,29.45357143,77.70428571,102.4692857,35.14714286,116.7757143
6/9/20,88.76285714,24.71785714,51.23,97.95928571,40.59142857,91.20928571,91.57285714,32.49142857,72.60928571,38.25285714,12.65928571,16.35571429,82.97428571,30.08857143,78.20714286,103.3521429,36.03785714,117.4014286
6/10/20,89.72,25.17071429,51.67642857,98.74428571,41.14785714,92.07857143,92.58642857,33.15571429,73.25071429,38.64071429,12.92214286,16.57,83.70214286,30.65785714,78.74428571,104.3014286,36.59071429,118.2021429
6/11/20,90.41071429,25.54214286,51.90571429,99.48,41.68714286,92.55928571,93.35785714,33.67071429,73.62214286,38.98785714,13.15714286,16.705,84.38928571,31.13357143,78.98928571,104.7342857,36.85785714,118.3278571
6/12/20,92.27928571,26.21857143,53.11357143,101.5171429,42.58571429,94.45,95.30857143,34.68571429,75.17357143,39.83642857,13.55857143,17.15571429,86.31214286,31.91857143,80.60857143,106.3057143,37.75357143,120.1421429
6/13/20,93.40785714,26.675,53.70857143,102.745,43.23357143,95.475,96.31571429,35.34357143,75.96714286,40.10642857,13.80142857,17.375,87.52928571,32.49928571,81.325,107.4928571,38.35428571,120.2192857
6/14/20,94.27071429,27.15,54.10071429,103.9057143,43.90214286,96.45357143,97.38357143,36.06785714,76.96142857,40.34071429,14.03714286,17.41357143,88.46928571,33.09142857,81.95285714,108.275,38.93428571,120.5121429
6/15/20,95.34642857,27.65071429,54.48214286,105.0942857,44.69785714,97.52285714,98.49071429,36.68785714,77.27642857,40.65785714,14.30214286,17.47642857,89.75,33.78071429,82.74928571,109.1535714,39.63714286,121.6228571
6/16/20,96.95357143,28.21642857,55.29,107.3271429,45.81928571,99.63857143,100.2742857,37.48214286,78.61928571,41.24357143,14.48428571,17.61357143,91.63285714,34.61071429,84.48142857,111.1528571,40.625,124.5935714
6/17/20,98.69857143,28.90785714,56.43714286,109.3492857,46.87428571,101.6521429,101.99,38.40928571,79.95285714,42.26357143,14.92,18.21571429,93.44714286,35.43071429,86.05714286,113.1321429,41.51,126.8507143
6/18/20,99.79142857,29.44214286,56.98857143,110.8642857,47.79357143,103.1635714,103.16,39.02285714,80.565,43.035,15.265,18.64357143,94.77071429,36.06642857,86.955,114.1635714,42.17642857,127.4964286
6/19/20,102.1557143,30.39785714,58.95571429,113.5807143,49.07214286,106.2935714,106.2407143,40.43428571,84.26214286,44.59714286,15.89142857,19.63571429,97.36285714,37.155,89.35071429,116.29,43.08071429,128.9585714
6/20/20,103.305,30.86071429,59.67142857,115.26,49.83357143,108.28,107.7864286,41.055,85.09642857,45.29928571,16.13928571,19.99928571,99.16428571,37.78214286,90.68,117.4357143,43.70142857,129.4164286
6/21/20,103.5371429,31.11571429,59.58642857,116.2185714,50.33071429,108.995,108.5478571,41.30928571,84.97071429,45.63428571,16.28857143,20.08642857,100.01,38.09,90.93285714,117.7592857,44.14571429,128.3378571
6/22/20,104.7778571,31.63785714,60.19071429,117.3107143,51.03785714,109.8471429,109.71,42.04857143,85.46357143,46.315,16.57785714,20.42071429,101.2535714,38.76642857,91.93857143,118.9257143,44.85214286,129.465
6/23/20,105.6985714,32.16857143,60.87071429,118.3907143,51.72857143,110.9707143,110.7935714,42.785,86.78714286,47.12,16.93357143,20.89,102.3642857,39.43357143,93.06,120.225,45.58571429,131.8371429
