pickup_datetime,pickup_datetime,duration_mean,duration_median,count
4,9,800.500809124434,694.0,128534
4,10,798.2430842834848,691.0,146731
4,11,787.3406005261407,681.0,132284
4,12,788.5761307022676,682.0,112806
4,13,807.0458808709735,690.0,138925
4,14,819.8316266129987,709.0,135152
4,15,821.540427883687,712.0,150181
4,16,819.7881545557143,710.0,153291
4,17,838.1670336240248,724.0,173953
4,18,801.0081283234573,694.0,148001
4,19,797.3406741131779,692.0,132411
4,20,832.8742066233106,720.0,153458
4,21,822.9165736869699,710.0,148778
4,22,843.8872181429139,726.0,153757
4,23,842.5595288995996,726.0,154362
4,24,851.1840778507029,733.0,176132
4,25,826.5470082785824,719.0,159206
4,26,801.4143465009791,691.0,135838
4,27,841.0869185074704,727.0,155548
4,28,864.2428079188072,745.0,159620
4,29,855.3564147887193,737.0,162367
4,30,856.5501020507338,733.0,174913
5,1,883.4251732029867,759.0,193126
5,2,860.2017185774486,746.0,182011
5,3,835.5725347513761,725.0,160785
5,4,897.259309226716,762.0,172705
5,5,881.3631914079264,756.0,172438
5,6,873.7970821981302,753.0,176914
5,7,890.4176647045506,765.0,176680
5,8,892.7346267611116,766.0,205552
5,9,841.1920916449202,727.0,180872
5,10,856.0053182882232,741.0,185398
5,11,877.3747299411458,752.0,174499
5,12,895.1110885246663,763.0,172178
5,13,904.3169017628016,774.0,178863
5,14,917.4659990405373,783.0,183436
5,15,941.6348322758512,802.0,227427
5,16,889.8887503418609,772.0,215731
5,17,853.9013576978908,742.0,175665
5,18,907.631712011483,778.0,183924
5,19,920.11098210225,783.0,186895
5,20,920.8141827427268,786.0,195477
5,21,935.1737925980212,793.0,204675
5,22,962.8289794643686,811.0,236954
5,23,864.139135521027,744.0,200028
5,24,871.109836486154,755.0,190993
5,25,878.2572816034477,761.0,193982
5,26,940.4985806561681,798.0,211013
5,27,948.2451151495004,804.0,216588
5,28,943.6027211833659,800.0,214980
5,29,954.8547186034816,814.0,246556
5,30,933.6924055297349,803.0,252381
5,31,894.8143410694989,775.0,221169
6,1,965.5582962644753,818.0,216489
6,2,984.2709241295925,839.0,181955
6,3,975.8372567517167,828.0,182324
6,4,1021.7339874707525,854.0,198735
6,5,1034.741193723701,864.0,208658
6,6,979.488618702807,838.0,200109
6,7,929.7352463186805,804.0,202441
6,8,980.5910165065375,830.0,225547
6,9,981.2906069514814,826.0,239805
6,10,982.8721028611407,832.0,245846
6,11,974.7992637212787,821.0,244201
6,12,1048.4750923661807,869.0,280135
6,13,959.9373513141169,827.0,281634
6,14,923.3020708948859,798.0,234488
6,15,993.1413398479345,834.0,229638
6,16,1005.7389622892047,845.0,240992
6,17,1006.2208102264508,844.0,252991
6,18,1014.2792738809954,850.0,260343
6,19,1081.245966125898,885.0,296923
6,20,960.274174852053,822.0,295038
6,21,930.6766984352494,797.0,253395
6,22,989.8908512018238,827.0,254405
6,23,995.8240504110869,833.0,273908
6,24,1002.9082577047719,839.0,278334
6,25,1020.9674547677597,851.0,291164
6,26,1040.881046327821,864.0,328960
6,27,931.3665617272857,802.0,322726
6,28,906.053110987559,780.0,276986
6,29,1009.3208695620366,841.0,273379
6,30,1024.2300043667185,849.0,279386
7,1,1030.8084318166839,849.0,288289
7,2,1081.9889135615956,876.0,307132
7,3,956.8807836798323,809.0,313036
7,4,912.0409947305543,786.0,295477
7,5,910.1607705013963,784.0,270006
7,6,975.1470519718648,808.0,266144
7,7,984.6347229590064,832.0,273335
7,8,998.2717999577395,831.0,293418
7,9,1020.2418649325292,847.0,317545
7,10,977.4988587690804,808.0,347870
7,11,918.4727129570396,795.0,325136
7,12,935.694137159338,795.0,314131
7,13,987.9028484833286,826.0,279131
7,14,1011.1731684654902,842.0,297046
7,15,1021.6628336518605,851.0,311852
7,16,1022.0228189584335,852.0,322495
7,17,1032.094312411998,857.0,351555
7,18,958.7123966109068,818.0,376974
7,19,916.553914245683,786.0,323319
7,20,968.1532606067211,810.0,293611
7,21,998.6847476096854,831.0,304667
7,22,993.1628703853992,825.0,332694
7,23,1009.1082491975848,840.0,325268
7,24,1043.4831036234616,863.0,366114
7,25,975.2495330120721,831.0,402580
7,26,926.5609466486509,796.0,341922
7,27,979.8482529844115,819.0,311703
7,28,997.9789321639498,837.0,327466
7,29,1017.1738094620046,846.0,346713
7,30,1012.71907546442,849.0,357758
7,31,1054.4863225778315,865.0,366882
8,1,981.2989103577783,833.0,404720
8,2,908.8656939984019,784.0,329129
8,3,1015.4428029584086,839.0,321389
8,4,963.4968144295912,799.0,297278
8,5,1088.2513348489204,890.0,344421
8,6,1065.2047014515674,880.0,351551
8,7,1071.9424408717148,880.0,399259
8,8,975.888605141767,841.0,396284
8,9,954.4413211447572,818.0,363291
8,10,1015.3981155782753,842.0,325511
8,11,1020.3513129585293,850.0,337901
8,12,1023.9900197707541,845.0,337367
8,13,1029.8437870751623,854.0,343896
8,14,1092.0575774212875,892.0,398889
8,15,998.2558214869205,852.0,426008
8,16,915.6681510170706,787.0,315514
8,17,1020.2275822583586,848.0,312643
8,18,1050.2927923942261,871.0,327751
8,19,1024.0773133370187,854.0,336462
8,20,1083.1638002738966,891.0,357069
8,21,1101.0327277962854,901.0,402838
8,22,1016.0738378907151,860.0,433436
8,23,957.5406112622985,818.0,353498
8,24,1024.5447329269748,849.0,318602
8,25,1044.5214989833169,863.0,336388
8,26,1067.3983344594892,882.0,341871
8,27,1096.6170447044206,890.0,360546
8,28,1119.0808949293796,912.0,412770
8,29,949.6841314167522,821.0,383878
8,30,1010.8003206919809,852.0,381051
8,31,1056.4227708338312,877.0,334744
9,1,1069.9885119128737,883.0,344879
9,2,1063.0824540672515,880.0,357969
9,3,1095.5050675027685,895.0,391021
9,4,1146.9518833564396,931.5000000000001,425570
9,5,1029.1361260399028,874.0,434656
9,6,983.6536754914109,837.0,388982
9,7,954.8198227774991,820.0,328965
9,8,1071.6344798993202,883.0,340088
9,9,1089.3348168081143,895.0,357494
9,10,1067.0739493146534,871.0,399287
9,11,1128.4378848617598,927.0000000000001,435546
9,12,1029.1956358630612,885.0,483807
9,13,960.2216416995548,828.0,383371
9,14,1055.1900566914526,871.0,338499
9,15,1080.9745521184082,885.0,355786
9,16,1051.9046315005126,876.0,367721
9,17,1085.4324090277653,897.0,388003
9,18,1115.9199386700404,915.0000000000001,466330
9,19,1037.5648142059806,885.0,517078
9,20,972.684031609047,841.0,425954
9,21,1038.7168885284411,867.0,357580
9,22,1061.99701653428,879.0,367358
9,23,1080.6057523038348,893.0,401613
9,24,1108.9464767349457,912.0,421555
9,25,1147.1485190679175,940.0000000000001,490772
9,26,1030.8024239261822,885.0,532772
9,27,969.2493495091751,832.0,439668
9,28,984.2772011671748,838.0,351961
9,29,1066.415215830452,871.0,392762
