tpep_pickup_datetime,tpep_pickup_datetime,duration_mean,duration_median
6,7,928.4902555,557
6,8,843.3715683,546
6,9,831.7723605,545
6,10,814.4464979,546
6,11,858.0979633,554
6,12,882.6957927,566
6,13,825.1878198,540
6,14,-2060.189549,552
6,15,831.8049688,569.5
6,16,859.3038503,578
6,17,877.4667334,576
6,18,877.5318457,576
6,19,897.2232391,589.5
6,20,891.0118219,534
6,21,860.0773248,560
6,22,891.4672614,557
6,23,913.9541069,577
6,24,890.168551,582
6,25,875.4024751,587
6,26,857.6541468,589
6,27,756.759454,513
6,28,811.4279229,521
6,29,844.8655905,577
6,30,886.7525146,598
7,1,901.1310583,583
7,2,888.9084762,590
7,3,819.791088,502
7,4,862.3658469,534
7,5,855.6743945,552
7,6,913.3756938,561
7,7,874.0740883,566
7,8,880.2876322,581
7,9,883.2640832,591
7,10,918.5153364,579
7,11,832.9055588,497
7,12,830.4261969,545.5
7,13,789.3021377,560
7,14,885.9943102,582
7,15,913.1808347,589
7,16,897.6039824,592
7,17,891.5018286,583
7,18,-641.216029,526
7,19,864.9503821,536.5
7,20,849.0629796,545
7,21,852.2002375,572
7,22,897.0153758,585
7,23,843.3678985,571
7,24,929.6266356,589
7,25,822.4160799,538
7,26,922.9919617,537
7,27,871.0078313,551
7,28,876.4481895,570
7,29,908.4150706,582
7,30,910.937738,583
7,31,960.2660394,621
8,1,847.748336,536
8,2,795.7228476,516
8,3,867.3167227,559
8,4,837.0141679,535
8,5,918.2846304,609
8,6,895.4051521,601
8,7,899.2622854,587
8,8,820.9148595,519
8,9,857.0842242,522
8,10,896.4101735,557
8,11,872.3444968,570
8,12,911.2401627,590
8,13,910.1419826,601
8,14,968.3725739,599
8,15,845.189729,541
8,16,806.0285295,531
8,17,890.9653611,573
8,18,897.9876926,600
8,19,940.5400415,603
8,20,898.184816,600
8,21,919.2383208,595
8,22,839.9440343,532
8,23,825.1973667,540
8,24,898.5929804,567
8,25,900.9147199,594
8,26,942.1518718,607
8,27,988.4504879,611
8,28,950.8427733,600
8,29,826.5043522,522
8,30,899.0780338,561
8,31,927.0068311,591
9,1,935.3875576,599
9,2,862.0680039,584
9,3,949.3446354,594
9,4,931.0064315,589
9,5,888.8675251,535
9,6,855.6042587,533
9,7,888.5155794,520
9,8,923.4464413,594
9,9,952.3660057,615
9,10,926.3033854,601
9,11,937.1110627,609
9,12,827.7478488,549
9,13,774.7504581,528
9,14,923.2130868,589
9,15,957.2846689,607
9,16,909.8546382,604
9,17,947.1916533,621
9,18,935.6215807,606
9,19,885.7172256,545
9,20,837.9795484,540
9,21,902.579617,583
9,22,921.9963665,600
9,23,942.1064315,609
9,24,966.5157061,624
9,25,989.4198949,627
9,26,903.6440556,553
9,27,839.5432404,521
9,28,846.5059826,536
9,29,970.482906,626
9,30,943.6410138,625
10,1,996.2165632,649
10,2,991.872698,626
10,3,882.1599553,565
10,4,850.7976625,530
10,5,892.1224699,590
10,6,926.7491137,604
10,7,930.528827,614
10,8,958.5114114,635
10,9,965.1941107,621
10,10,914.4626336,578
10,11,827.1081238,536
10,12,835.1279141,523
10,13,961.7942702,625
10,14,934.0003373,625
10,15,993.159592,648
10,16,954.7330056,614
10,17,896.5748411,573
10,18,866.8804743,543
10,19,898.1328163,587
10,20,901.3453111,605
10,21,918.9557814,616
10,22,1001.717225,641
10,23,940.2290213,612
10,24,885.0742657,561
10,25,853.6961891,533
10,26,910.2813618,591
10,27,932.9213711,601.5
10,28,902.2206326,622
10,29,960.2228545,636
10,30,925.9470784,602
10,31,894.0924972,550
11,1,1076.609026,522
11,2,905.7646228,603
11,3,832.522931,554
11,4,859.1806866,582
11,5,917.0294972,624
11,6,912.1271379,616
11,7,917.4649226,584
11,8,864.4890317,557
11,9,889.1430276,593
11,10,934.2653731,626
11,11,871.3310951,596
11,12,904.1465206,620
11,13,897.0326788,606
11,14,874.3405695,569
11,15,800.1424846,522
11,16,898.68785,606
11,17,922.8544517,627
11,18,919.2094162,634
11,19,910.4192229,631
11,20,946.744774,626
11,21,904.7652283,571
11,22,833.1876528,508
11,23,872.7420552,590
11,24,942.9975149,620
11,25,922.5790895,591
11,26,766.3018497,500
11,27,854.4711651,522
11,28,872.5362509,544
11,29,865.2239163,545
11,30,853.2245986,575
12,1,915.2818011,604
12,2,865.7878143,590
12,3,880.8341377,601
12,4,894.572601,593
12,5,836.3787493,525
12,6,801.8099629,529
12,7,859.4934075,570
12,8,887.2109661,594
12,9,916.6073028,602
12,10,942.2127412,623
12,11,917.1782691,600
12,12,874.3070059,550
12,13,897.5486237,560
12,14,906.6314337,589
12,15,920.6737181,633
12,16,875.5269774,575
12,17,821.0288785,517
12,18,1000.665447,677
12,19,878.1048513,583
12,20,862.5165872,531
12,21,990.9388464,644
12,22,999.3794086,648
12,23,1047.133063,656
12,24,854.6845536,514
12,25,868.666405,522
12,26,839.6796916,524
12,27,920.5580874,560
12,28,872.1464438,570
12,29,902.0960842,564
12,30,897.878405,579
12,31,821.3798107,520
