GEO_ID,NAME,B11001_001E
id,Geographic Area Name,Estimate!!Total:
8600000US11776,ZCTA5 11776,7958
8600000US11777,ZCTA5 11777,3393
8600000US11778,ZCTA5 11778,4246
8600000US11779,ZCTA5 11779,12354
8600000US11780,ZCTA5 11780,5515
8600000US11782,ZCTA5 11782,5157
8600000US11783,ZCTA5 11783,7067
8600000US11784,ZCTA5 11784,7858
8600000US11786,ZCTA5 11786,1900
8600000US11787,ZCTA5 11787,12000
8600000US11788,ZCTA5 11788,5532
8600000US11789,ZCTA5 11789,2875
8600000US11790,ZCTA5 11790,4405
8600000US11791,ZCTA5 11791,8223
8600000US11792,ZCTA5 11792,2621
8600000US11793,ZCTA5 11793,10240
8600000US11794,ZCTA5 11794,0
8600000US11795,ZCTA5 11795,7812
8600000US11796,ZCTA5 11796,1299
8600000US11797,ZCTA5 11797,3097
8600000US11798,ZCTA5 11798,3579
8600000US11801,ZCTA5 11801,12887
8600000US11803,ZCTA5 11803,9731
8600000US11804,ZCTA5 11804,1625
8600000US11901,ZCTA5 11901,9696
8600000US11930,ZCTA5 11930,415
8600000US11931,ZCTA5 11931,10
8600000US11932,ZCTA5 11932,476
8600000US11933,ZCTA5 11933,3060
8600000US11934,ZCTA5 11934,2566
8600000US11935,ZCTA5 11935,1285
8600000US11937,ZCTA5 11937,6795
8600000US11939,ZCTA5 11939,457
8600000US11940,ZCTA5 11940,1888
8600000US11941,ZCTA5 11941,661
8600000US11942,ZCTA5 11942,1993
8600000US11944,ZCTA5 11944,1959
8600000US11946,ZCTA5 11946,5962
8600000US11947,ZCTA5 11947,178
8600000US11948,ZCTA5 11948,274
8600000US11949,ZCTA5 11949,4937
8600000US11950,ZCTA5 11950,4632
8600000US11951,ZCTA5 11951,4420
8600000US11952,ZCTA5 11952,2129
8600000US11953,ZCTA5 11953,5322
8600000US11954,ZCTA5 11954,1458
8600000US11955,ZCTA5 11955,1816
8600000US11956,ZCTA5 11956,127
8600000US11957,ZCTA5 11957,392
8600000US11958,ZCTA5 11958,355
8600000US11959,ZCTA5 11959,240
8600000US11960,ZCTA5 11960,332
8600000US11961,ZCTA5 11961,5496
8600000US11962,ZCTA5 11962,138
8600000US11963,ZCTA5 11963,2827
8600000US11964,ZCTA5 11964,981
8600000US11965,ZCTA5 11965,255
8600000US11967,ZCTA5 11967,8062
8600000US11968,ZCTA5 11968,4339
8600000US11970,ZCTA5 11970,117
8600000US11971,ZCTA5 11971,2568
8600000US11972,ZCTA5 11972,458
8600000US11973,ZCTA5 11973,0
8600000US11975,ZCTA5 11975,101
8600000US11976,ZCTA5 11976,670
8600000US11977,ZCTA5 11977,809
8600000US11978,ZCTA5 11978,1315
8600000US11980,ZCTA5 11980,2038
8600000US12007,ZCTA5 12007,9
8600000US12008,ZCTA5 12008,217
8600000US12009,ZCTA5 12009,3019
8600000US12010,ZCTA5 12010,11672
8600000US12015,ZCTA5 12015,1143
8600000US12017,ZCTA5 12017,187
8600000US12018,ZCTA5 12018,3060
8600000US12019,ZCTA5 12019,5903
8600000US12020,ZCTA5 12020,13748
8600000US12022,ZCTA5 12022,298
8600000US12023,ZCTA5 12023,824
8600000US12024,ZCTA5 12024,0
8600000US12025,ZCTA5 12025,2285
8600000US12027,ZCTA5 12027,1482
8600000US12028,ZCTA5 12028,322
8600000US12029,ZCTA5 12029,469
8600000US12031,ZCTA5 12031,88
8600000US12032,ZCTA5 12032,406
8600000US12033,ZCTA5 12033,3188
8600000US12035,ZCTA5 12035,267
8600000US12036,ZCTA5 12036,104
8600000US12037,ZCTA5 12037,1841
8600000US12040,ZCTA5 12040,55
8600000US12041,ZCTA5 12041,173
8600000US12042,ZCTA5 12042,114
8600000US12043,ZCTA5 12043,2898
8600000US12045,ZCTA5 12045,232
8600000US12046,ZCTA5 12046,423
8600000US12047,ZCTA5 12047,9030
8600000US12051,ZCTA5 12051,1500
8600000US12052,ZCTA5 12052,681
8600000US12053,ZCTA5 12053,1384
8600000US12054,ZCTA5 12054,6933
8600000US12056,ZCTA5 12056,809
8600000US12057,ZCTA5 12057,774
8600000US12058,ZCTA5 12058,549
8600000US12059,ZCTA5 12059,682
8600000US12060,ZCTA5 12060,637
8600000US12061,ZCTA5 12061,3871
8600000US12062,ZCTA5 12062,604
8600000US12063,ZCTA5 12063,199
8600000US12064,ZCTA5 12064,170
8600000US12065,ZCTA5 12065,17654
8600000US12066,ZCTA5 12066,757
8600000US12067,ZCTA5 12067,607
8600000US12068,ZCTA5 12068,1239
8600000US12069,ZCTA5 12069,103
8600000US12070,ZCTA5 12070,723
8600000US12071,ZCTA5 12071,127
8600000US12072,ZCTA5 12072,971
8600000US12074,ZCTA5 12074,1195
8600000US12075,ZCTA5 12075,1130
8600000US12076,ZCTA5 12076,630
8600000US12077,ZCTA5 12077,2694
8600000US12078,ZCTA5 12078,10018
8600000US12083,ZCTA5 12083,1415
8600000US12084,ZCTA5 12084,2128
8600000US12085,ZCTA5 12085,189
8600000US12086,ZCTA5 12086,726
8600000US12087,ZCTA5 12087,335
8600000US12089,ZCTA5 12089,35
8600000US12090,ZCTA5 12090,2520
8600000US12092,ZCTA5 12092,396
8600000US12093,ZCTA5 12093,624
8600000US12094,ZCTA5 12094,853
8600000US12095,ZCTA5 12095,4859
8600000US12106,ZCTA5 12106,1036
8600000US12108,ZCTA5 12108,46
8600000US12110,ZCTA5 12110,7245
8600000US12115,ZCTA5 12115,34
8600000US12116,ZCTA5 12116,753
8600000US12117,ZCTA5 12117,1376
8600000US12118,ZCTA5 12118,6669
8600000US12120,ZCTA5 12120,265
8600000US12121,ZCTA5 12121,684
8600000US12122,ZCTA5 12122,1983
8600000US12123,ZCTA5 12123,2213
8600000US12124,ZCTA5 12124,192
8600000US12125,ZCTA5 12125,622
8600000US12130,ZCTA5 12130,271
8600000US12131,ZCTA5 12131,35
8600000US12132,ZCTA5 12132,134
8600000US12134,ZCTA5 12134,1510
8600000US12136,ZCTA5 12136,309
8600000US12137,ZCTA5 12137,704
8600000US12138,ZCTA5 12138,1348
8600000US12139,ZCTA5 12139,55
8600000US12140,ZCTA5 12140,686
8600000US12143,ZCTA5 12143,1973
8600000US12144,ZCTA5 12144,9144
8600000US12147,ZCTA5 12147,216
8600000US12148,ZCTA5 12148,1735
8600000US12149,ZCTA5 12149,938
8600000US12150,ZCTA5 12150,323
8600000US12151,ZCTA5 12151,406
8600000US12153,ZCTA5 12153,348
8600000US12154,ZCTA5 12154,1179
8600000US12155,ZCTA5 12155,829
8600000US12156,ZCTA5 12156,346
8600000US12157,ZCTA5 12157,1685
8600000US12158,ZCTA5 12158,2646
8600000US12159,ZCTA5 12159,3527
8600000US12160,ZCTA5 12160,358
8600000US12161,ZCTA5 12161,77
8600000US12164,ZCTA5 12164,95
8600000US12165,ZCTA5 12165,68
8600000US12166,ZCTA5 12166,484
8600000US12167,ZCTA5 12167,1128
8600000US12168,ZCTA5 12168,907
8600000US12169,ZCTA5 12169,92
8600000US12170,ZCTA5 12170,1962
8600000US12172,ZCTA5 12172,84
8600000US12173,ZCTA5 12173,772
8600000US12174,ZCTA5 12174,141
8600000US12175,ZCTA5 12175,197
8600000US12176,ZCTA5 12176,134
8600000US12177,ZCTA5 12177,163
8600000US12180,ZCTA5 12180,21328
8600000US12182,ZCTA5 12182,6013
8600000US12183,ZCTA5 12183,1261
8600000US12184,ZCTA5 12184,2586
8600000US12185,ZCTA5 12185,762
8600000US12186,ZCTA5 12186,2457
8600000US12187,ZCTA5 12187,234
8600000US12188,ZCTA5 12188,4823
